epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3583,1.91138,5.2966,1.50431,0,0,0,0,1.69244,5.13394,1.55747,1.5e-05,1.5e-05,1.5e-05
2,25.1365,1.86923,5.08751,1.45639,0,0,0,0,1.4721,5.01369,1.38775,3.46535e-05,3.46535e-05,3.46535e-05
3,37.1434,1.59162,4.71096,1.29837,0,0,0,0,0.98532,4.86965,1.0937,5.3911e-05,5.3911e-05,5.3911e-05
4,49.3426,1.32217,4.58856,1.10959,1,0.90909,0.9545,0.76008,0.74133,4.51564,0.99293,7.27725e-05,7.27725e-05,7.27725e-05
5,61.3469,1.36397,3.5318,1.0928,0.78571,1,0.995,0.77966,0.79123,4.38005,0.97216,9.1238e-05,9.1238e-05,9.1238e-05
6,73.4356,1.28381,2.84714,0.99854,0.47826,1,0.995,0.79317,0.89657,4.14875,1.05028,0.000109308,0.000109308,0.000109308
7,85.1063,1.09576,2.19719,0.97674,0.31429,1,0.995,0.71584,1.01316,3.93006,1.09536,0.000126981,0.000126981,0.000126981
8,96.7805,1.12156,1.81205,1.09712,0.2973,1,0.995,0.68661,1.08093,3.78727,1.13526,0.000144259,0.000144259,0.000144259
9,108.618,1.19248,1.78333,1.12558,0.35484,1,0.995,0.69252,1.08402,3.75047,1.11931,0.00016114,0.00016114,0.00016114
10,121.105,1.17203,1.8766,1.13384,0.40741,1,0.93962,0.66181,1.01727,3.89066,1.06219,0.000177626,0.000177626,0.000177626
11,133.249,1.05355,1.74357,1.01058,0.37931,1,0.93962,0.68006,0.93575,3.98709,1.02399,0.000193715,0.000193715,0.000193715
12,144.955,1.09287,2.08824,1.02052,0.45833,1,0.995,0.74054,0.97764,3.95262,1.0224,0.000209408,0.000209408,0.000209408
13,156.903,1.1335,1.62972,1.0434,0.47826,1,0.995,0.73977,1.03726,3.84682,1.01876,0.000224706,0.000224706,0.000224706
14,168.834,1.02473,1.49102,0.9854,0.52381,1,0.995,0.75233,1.02769,3.76526,1.0252,0.000239607,0.000239607,0.000239607
15,180.675,1.04787,1.42511,0.96678,0.44,1,0.995,0.76048,0.97961,3.63076,1.03457,0.000254113,0.000254113,0.000254113
16,192.326,0.91446,1.64493,0.95288,0.44,1,0.995,0.76673,0.94959,3.65135,1.04324,0.000268223,0.000268223,0.000268223
17,203.87,0.99271,1.38503,1.04335,0.275,1,0.995,0.74648,0.96109,3.62973,1.05434,0.000281936,0.000281936,0.000281936
18,215.784,0.99692,1.31162,0.97317,0.94322,1,0.995,0.70211,1.02233,3.43325,1.07617,0.000295253,0.000295253,0.000295253
19,227.792,1.10679,1.3751,1.00981,1,0.72656,0.995,0.67637,1.0738,3.34343,1.09697,0.000308175,0.000308175,0.000308175
20,239.751,0.98034,1.33946,1.00106,1,0.57787,0.995,0.68896,1.10156,3.26473,1.12441,0.000320701,0.000320701,0.000320701
21,251.523,0.89226,1.26541,0.97483,1,0.40953,0.995,0.6847,1.02926,3.22766,1.10428,0.00033283,0.00033283,0.00033283
22,263.306,0.95756,1.30438,0.97411,1,0.64182,0.995,0.73557,1.00104,3.16432,1.10451,0.000344564,0.000344564,0.000344564
23,275.289,0.92446,1.27146,0.98036,1,0.72769,0.995,0.7484,0.97565,3.11003,1.09743,0.000355901,0.000355901,0.000355901
24,287.215,0.87139,1.18707,0.95038,1,0.87046,0.995,0.74502,0.98244,2.97015,1.11742,0.000366843,0.000366843,0.000366843
25,299.774,0.99673,1.36053,1.0059,1,0.95322,0.995,0.73616,0.99583,2.80858,1.12138,0.000377388,0.000377388,0.000377388
26,312.1,0.95163,1.3404,1.02075,1,0.98504,0.995,0.73947,1.00025,2.62937,1.12409,0.00037625,0.00037625,0.00037625
27,323.974,1.07853,1.32229,1.09933,0.96135,1,0.995,0.72581,1.01524,2.56745,1.13081,0.0003713,0.0003713,0.0003713
28,335.559,0.93367,1.2657,0.98739,0.96913,1,0.995,0.73989,1.02754,2.4601,1.15794,0.00036635,0.00036635,0.00036635
